H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
39.86259842,1949.390015,4.080140114,69.53829956,42.1590004,1.956730008,47.09790039,1965.819946,4.757009983,57.95449829,38.52600098,1.609869957,231.9949951,102.0329971,41.82120132,234.3159943,114.7559967,42.41559982,1,0,0,0
42.0177002,2035.660034,4.435259819,68.17980194,40.83430099,2.566359997,47.7947998,2047.5,4.936989784,52.07350159,37.61149979,1.597419977,223.0399933,98.25520325,103.137001,211.8190002,111.9160004,42.69100189,1,0,0,0
54.25659943,1940.560059,4.27944994,67.26200104,39.38990021,1.869570017,59.76179886,1971.189941,4.765820026,50.15790176,35.10630035,1.488759995,221.9700012,88.47489929,136.072998,207.753006,104.0680008,48.61230087,0,0,0,1
56.09930038,1979.369995,4.305250168,68.40239716,40.05870056,1.948169947,60.98099899,2003.109985,4.806419849,50.05329895,35.32389832,1.48187995,220.0059967,89.87359619,136.6459961,204.1600037,103.4810028,47.08860016,0,0,0,1
51.20000076,1928.040039,4.302549839,65.31310272,41.44229889,1.919970036,54.50650024,1951.640015,4.678460121,53.00159836,35.89440155,1.615849972,245.4600067,95.46230316,43.28609848,222.4250031,106.2669983,37.94309998,1,0,0,0
45.52769852,1940.589966,4.276199818,66.9865036,41.88740158,1.947939992,50.61790085,1944.449951,4.750430107,55.17380142,37.58240128,1.449149966,239.5240021,94.83709717,46.35290146,227.2920074,106.8919983,44.44079971,1,0,0,0
40.56439972,1987.150024,4.335149765,66.00160217,40.71900177,2.43482995,46.35240173,1994.72998,4.866630077,53.48860168,38.1114006,1.619449973,228.4609985,95.35949707,41.09809875,225.1439972,112.0080032,40.77539825,0,0,0,1
37.24000168,1995.47998,4.453969955,69.21170044,43.25249863,2.422790051,42.66260147,1996.97998,4.87816,55.01409912,39.59680176,1.625589967,239.1340027,98.30750275,42.70270157,227.8070068,114.7020035,41.24319839,1,0,0,0
37.53720093,2136.649902,4.707940102,69.50489807,41.62680054,3.31276989,42.49369812,2135.899902,5.00522995,51.20750046,38.52299881,1.665249944,221.6210022,102.0670013,123.3880005,209.7389984,115.2939987,43.0530014,0,0,0,1
46.20980072,2107.909912,4.542319775,65.03659821,41.44340134,5.11206007,54.10549927,2133.929932,4.96987009,48.11930084,36.9917984,1.83107996,237.5540009,96.08840179,36.7480011,209.0910034,108.5999985,31.15559959,1,0,0,0
36.30559921,2092.419922,4.498939991,64.94400024,41.49689865,2.946249962,42.49200058,2080.300049,4.99063015,52.96080017,39.86259842,1.81013,226.7440033,98.71549988,40.63079834,218.1940002,114.0360031,40.76039886,1,0,0,0
37.74440002,2084.610107,4.468249798,64.07759857,41.28820038,2.845410109,44.61449814,2083.22998,4.99229002,52.69749832,39.33250046,1.830039978,226.3710022,96.90769958,40.63949966,217.0850067,112.4120026,40.72539902,1,0,0,0
46.9109993,1963.530029,4.28358984,68.03859711,41.18080139,2.572360039,51.79809952,1990.47998,4.633969784,52.70339966,36.39490128,1.673750043,249.4019928,96.69380188,42.6108017,222.5709991,110.0940018,40.54389954,0,0,0,1
42.45890045,2140.870117,4.686510086,64.33499908,41.41139984,4.451300144,49.20679855,2126.76001,4.988580227,48.79040146,37.9878006,1.787950039,233.4440002,98.98090363,36.33860016,207.5099945,111.0540009,30.96249962,1,0,0,0
40.60639954,1993.73999,4.597809792,68.31130219,43.29529953,2.570640087,45.2582016,2004.040039,4.878180027,53.89690018,38.65119934,1.612689972,240.9440002,97.81839752,42.73239899,225.503006,112.7429962,41.08840179,1,0,0,0
45.04529953,1966.0,4.231180191,68.38970184,42.08169937,2.529710054,50.30810165,1990.25,4.630720139,53.43669891,37.11619949,1.642160058,246.9660034,95.05249786,44.04029846,223.7489929,108.5540009,41.48130035,1,0,0,0
50.96649933,2041.819946,4.490620136,65.55860138,42.15420151,4.245989799,56.24959946,2061.840088,4.7603302,48.90309906,36.41669846,1.734079957,245.0319977,93.8588028,42.00299835,213.2070007,106.0029984,35.06679916,0,0,0,1
42.53369904,2024.930054,4.497189999,67.38059998,40.88470078,2.213829994,47.01819992,2003.099976,5.052690029,50.83150101,37.81760025,1.459339976,217.2059937,92.22219849,124.7360001,206.1390076,106.6399994,41.63010025,1,0,0,0
43.61520004,2170.879883,4.535470009,65.04509735,41.49509811,4.630819798,51.0481987,2178.52002,4.97740984,47.75350189,37.46839905,1.865669966,236.0420074,98.12609863,36.52970123,206.3480072,109.5599976,31.0291996,1,0,0,0
44.6780014,2079.52002,4.54433012,68.13240051,39.65810013,2.275010109,49.79410172,2108.149902,5.086219788,50.21099854,36.32529831,1.494160056,211.2870026,98.23719788,137.9309998,196.6519928,107.0800018,40.30659866,0,0,0,1
41.57860184,1945.339966,4.073090076,68.85070038,42.10449982,1.841789961,48.84149933,1960.630005,4.754640102,58.25740051,38.24580002,1.60532999,231.871994,101.6350021,41.82279968,233.5279999,113.7310028,42.40819931,1,0,0,0
35.21390152,2051.139893,4.584750175,67.74230194,42.7541008,3.093869925,40.94729996,2042.75,4.867209911,53.01210022,40.05989838,1.720579982,229.6719971,99.50920105,39.13019943,220.0440063,115.5130005,40.39569855,0,0,0,1
50.30609894,1893.609985,4.218540192,66.43800354,39.29159927,1.792029977,57.03910065,1935.449951,4.759910107,51.44079971,35.06269836,1.491260052,223.7810059,88.57740021,133.348999,213.029007,105.0370026,48.76589966,0,0,0,1
39.40190125,2149.540039,4.649620056,66.77719879,39.88840103,2.945509911,44.55149841,2170.550049,4.950669765,50.29230118,37.58800125,1.693199992,215.3049927,103.1719971,132.4920044,198.9539948,111.4459991,40.14929962,1,0,0,0
39.96720123,1921.27002,4.581820011,67.12220001,40.32619858,2.156100035,45.68640137,1952.98999,4.87556982,50.64530182,36.54290009,1.494300008,219.9219971,85.60099792,136.9940033,213.9420013,104.1559982,43.96590042,1,0,0,0
35.3606987,2105.189941,4.550670147,65.28279877,41.62810135,2.980560064,40.88339996,2079.959961,4.991300106,52.84880066,40.31529999,1.797770023,226.7940063,99.65409851,40.58029938,217.9920044,115.1409988,40.75099945,1,0,0,0
48.15380096,1953.030029,4.35078001,67.09279633,41.16389847,2.393349886,52.50889969,1980.579956,4.636970043,51.96060181,36.14989853,1.659989953,248.951004,94.68060303,42.54330063,220.3220062,108.7139969,40.38499832,1,0,0,0
40.50429916,1954.72998,4.124000072,68.979599,42.11920166,1.990579963,47.36940002,1968.219971,4.75756979,57.41910172,38.49840164,1.610430002,231.6849976,101.1620026,41.74079895,232.1750031,114.4189987,42.3553009,1,0,0,0
49.01699829,1930.01001,4.182779789,68.82839966,39.48880005,1.940610051,55.3730011,1962.660034,4.752999783,52.63619995,35.67720032,1.502130032,225.3630066,92.34410095,134.0220032,214.5149994,107.1159973,49.020401,1,0,0,0
53.17779922,1916.98999,4.339540005,64.82980347,41.37990189,1.841210008,55.72029877,1940.02002,4.67787981,52.35879898,35.5265007,1.595710039,245.2259979,94.24269867,43.19689941,220.1089935,105.5699997,37.86700058,1,0,0,0
55.16379929,1944.219971,4.402800083,64.76409912,41.39400101,2.478660107,56.97069931,1966.829956,4.683760166,50.4518013,35.54629898,1.63135004,245.1929932,92.9210968,42.96350098,216.772995,105.1819992,37.61240005,1,0,0,0
42.83789825,1975.219971,4.433199883,67.78710175,40.6711998,2.16347003,48.70220184,2006.949951,4.876410007,50.83679962,37.03490067,1.476709962,220.6929932,90.57479858,136.7079926,208.2019958,104.7360001,43.98680115,1,0,0,0
44.4966011,2192.23999,4.448550224,67.20480347,41.77370071,7.020579815,53.17169952,2205.939941,4.832940102,47.41279984,37.4803009,2.006989956,241.9830017,101.6589966,37.09429932,210.4920044,111.737999,31.41650009,1,0,0,0
43.92649841,2008.969971,4.515699863,65.72319794,42.35969925,3.23032999,49.63019943,2035.869995,4.76184988,49.63690186,37.5705986,1.698869944,244.7319946,90.64620209,42.25619888,215.0670013,105.9609985,35.21459961,1,0,0,0
42.19789886,1947.689941,4.108620167,68.501297,42.0625,1.87353003,49.07089996,1961.699951,4.75466013,57.7276001,38.17139816,1.603839993,231.6679993,101.0039978,41.7560997,231.7980042,113.6060028,42.36159897,1,0,0,0
47.14590073,1936.579956,4.227059841,66.77590179,41.28039932,1.886240005,51.82490158,1959.140015,4.616509914,54.84000015,36.89390182,1.540770054,242.5829926,94.51519775,45.87760162,224.9689941,106.3909988,44.53170013,0,0,0,1
40.60760117,2155.409912,4.602330208,68.27200317,39.86059952,2.696850061,45.27050018,2173.790039,4.950180054,50.1495018,37.09189987,1.63093996,215.3280029,103.2460022,136.9730072,196.151001,110.1520004,40.43330002,1,0,0,0
36.51250076,2148.449951,4.608369827,69.98840332,42.25059891,3.499249935,41.64530182,2146.959961,5.019680023,51.66930008,39.27890015,1.686050057,223.6940002,106.5009995,135.2799988,205.0879974,118.8359985,45.25830078,0,0,0,1
42.54159927,1964.25,4.200980186,67.82029724,41.99169922,2.077610016,48.54800034,1973.280029,4.75658989,56.1957016,38.17409897,1.608219981,231.1060028,99.9865036,41.58459854,228.0279999,113.7529984,42.23699951,1,0,0,0
45.21250153,2137.870117,4.520040035,65.07189941,41.46709824,4.885990143,53.06999969,2159.370117,4.971730232,47.83470154,37.12749863,1.857949972,237.2590027,96.56430054,36.6867981,207.7599945,108.7190018,31.11260033,1,0,0,0
56.27510071,1914.030029,4.375959873,64.27799988,41.29410172,1.971459985,57.66609955,1935.01001,4.676790237,51.13830185,35.06760025,1.576380014,244.8059998,92.84559631,43.01549911,216.1999969,104.6149979,37.71020126,1,0,0,0
48.77560043,2093.959961,4.533279896,65.22570038,41.52009964,5.963659763,56.01599884,2112.669922,4.827129841,48.31200027,36.86920166,1.886800051,241.9320068,97.57700348,37.29959869,210.6109924,109.4489975,31.57999992,1,0,0,0
35.45420074,2042.030029,4.585639954,67.74629974,42.74549866,3.09107995,41.31389999,2037.589966,4.866010189,52.93370056,39.93059921,1.718950033,229.6860046,99.08840179,39.10150146,219.901001,115.1470032,40.3783989,0,0,0,1
50.01300049,2039.189941,4.503650188,65.37020111,42.1344986,4.015699863,55.40340042,2060.449951,4.76116991,48.86949921,36.42380142,1.734320045,245.0019989,93.23100281,42.00619888,212.8139954,105.7689972,35.07130051,1,0,0,0
51.65200043,1936.699951,4.523169994,64.95490265,41.15209961,2.374739885,54.87369919,1964.410034,4.64538002,49.84529877,35.51079941,1.631299973,247.8470001,90.51439667,42.36169815,215.2920074,105.5830002,39.92060089,1,0,0,0
43.47980118,1947.449951,4.04282999,69.37329865,42.31259918,1.847120047,50.93349838,1960.719971,4.791950226,57.49869919,38.08739853,1.616109967,229.2380066,98.84420013,42.95339966,228.375,111.2350006,41.47880173,0,0,0,1
39.46720123,1916.599976,4.608109951,67.93789673,40.35609818,2.178149939,44.71139908,1944.439941,4.872499943,50.44480133,36.90050125,1.508030057,220.2799988,80.99949646,136.2899933,215.8769989,103.0839996,43.9618988,1,0,0,0
35.26990128,2163.949951,4.791069984,65.95079803,42.7560997,2.725579977,36.94589996,2017.030029,4.894199848,52.10419846,41.46429825,1.682500005,227.8930054,100.5449982,38.99779892,213.6580048,117.6869965,40.29959869,0,0,0,1
52.10889816,1964.209961,4.467919827,65.48989868,41.17850113,2.75880003,55.43320084,1989.369995,4.645969868,49.61610031,35.75479889,1.663900018,247.7169952,91.8391037,42.30270004,215.2030029,106.2020035,39.86460114,1,0,0,0
36.6391983,2179.77002,4.43614006,69.86779785,43.64670181,5.321929932,43.31019974,2172.189941,4.867569923,50.71910095,39.72370148,1.920670033,239.371994,105.8550034,39.68840027,219.1170044,119.7580032,38.93759918,1,0,0,0
50.75619888,2011.530029,4.408309937,67.71479797,40.34880066,2.047709942,55.72129822,2035.560059,4.878910065,50.14490128,35.67610168,1.477640033,218.8090057,92.27469635,139.1940002,203.4360046,103.8820038,44.02980042,0,0,0,1
43.18450165,2200.409912,4.477469921,66.94229889,41.76089859,6.801579952,51.84270096,2214.629883,4.834459782,47.59469986,37.70289993,2.014839888,241.3569946,102.2720032,37.01210022,210.0570068,112.2559967,31.3757,1,0,0,0
35.39030075,1975.609985,4.385779858,70.10250092,43.29069901,2.331480026,41.07749939,1983.030029,4.877009869,55.26869965,40.11309814,1.616019964,238.6089935,95.92410278,42.73759842,228.8600006,115.2770004,41.32899857,1,0,0,0
40.91630173,1951.189941,4.048049927,69.98930359,42.36619949,1.950090051,48.23130035,1966.119995,4.793379784,57.58129883,38.4530983,1.619410038,229.654007,100.3310013,42.93740082,230.8410034,112.7330017,41.52489853,0,0,0,1
41.01509857,2115.919922,4.674890041,66.57559967,39.71860123,2.21333003,45.6739006,2103.300049,5.103109837,50.29589844,37.39459991,1.505769968,209.3300018,100.0780029,132.8170013,197.6690063,109.5510025,39.83769989,1,0,0,0
50.50030136,1931.819946,4.279439926,65.52940369,41.46590042,1.94235003,54.09669876,1955.290039,4.678150177,53.36240005,36.0340004,1.621760011,245.5330048,96.14409637,43.33150101,223.5500031,106.586998,37.98450089,0,0,0,1
38.75260162,2141.290039,4.622069836,67.23680115,42.71649933,5.16369009,45.75159836,2143.199951,5.006639957,50.16859818,39.01499939,1.887709975,238.3289948,100.4830017,38.2405014,213.1690063,113.9410019,34.9754982,1,0,0,0
39.9557991,2113.320068,4.58246994,66.60540009,42.20069885,4.679679871,46.65570068,2117.139893,4.96281004,50.32799911,38.61980057,1.845540047,237.3150024,99.12010193,38.60139847,213.1450043,113.2490005,35.68119812,1,0,0,0
41.20299911,2164.610107,4.628930092,64.94689941,41.56760025,5.599989891,49.18050003,2184.209961,4.836239815,48.76380157,38.07600021,1.970090032,239.2749939,101.6139984,36.87120056,209.1629944,112.6429977,31.33769989,1,0,0,0
49.6556015,1936.369995,4.255819798,65.75219727,41.49010086,1.982249975,53.6291008,1959.689941,4.67784977,53.72719955,36.17860031,1.628239989,245.6199951,96.88059998,43.37870026,224.7339935,106.9380035,38.02730179,0,0,0,1
42.59550095,1980.51001,4.428740025,67.97180176,40.74869919,2.176480055,48.36930084,2011.310059,4.876070023,50.86619949,37.25,1.475589991,220.9519958,90.58850098,136.3990021,208.4499969,104.8610001,43.98400116,1,0,0,0
44.33720016,2007.339966,4.529270172,65.41300201,42.29100037,3.080869913,49.96210098,2034.790039,4.76252985,49.50640106,37.37009811,1.700979948,244.720993,90.20510101,42.2195015,214.2969971,105.5680008,35.19380188,1,0,0,0
43.63539886,1964.5,4.120739937,68.95970154,42.27799988,2.044090033,50.18849945,1972.819946,4.794990063,55.99769974,38.17860031,1.622359991,228.6329956,97.57839966,42.81729889,224.5269928,111.3099976,41.35390091,0,0,0,1
44.05989838,2210.75,4.413899899,68.47599792,41.91130066,7.73360014,53.00830078,2224.330078,4.833799839,47.2737999,37.64459991,2.055629969,242.4680023,103.8150024,37.04320145,212.1600037,113.2350006,31.37829971,1,0,0,0
42.37310028,2002.829956,4.493589878,66.36190033,42.53160095,3.369339943,48.18050003,2029.910034,4.760680199,50.06800079,38.19979858,1.684059978,244.6820068,90.74150085,42.38050079,217.1049957,106.6539993,35.28020096,1,0,0,0
42.66849899,2049.379883,4.557139874,66.67649841,42.08750153,3.21901989,48.40090179,2056.72998,4.866950035,50.96250153,38.15999985,1.692499995,236.7140045,96.20089722,39.65819931,214.0980072,110.4899979,36.69150162,1,0,0,0
43.42100143,2151.149902,4.578219891,64.77799988,41.45240021,4.560800076,50.80099869,2156.110107,4.979750156,48.09590149,37.54710007,1.842560053,235.5279999,97.4272995,36.52429962,207.1470032,109.6230011,31.03059959,1,0,0,0
42.79660034,1962.069946,4.108739853,69.19499969,42.30479813,2.025269985,49.51979828,1971.579956,4.795000076,56.37070084,38.29769897,1.62232995,228.8739929,98.18560028,42.83800125,225.9929962,111.7040024,41.3927002,0,0,0,1
46.34280014,1937.910034,4.258170128,66.51599884,41.57989883,1.943120003,51.29729843,1961.099976,4.624820232,54.89009857,37.37400055,1.553519964,241.9369965,94.20469666,46.70100021,226.7369995,106.1230011,44.84619904,1,0,0,0
41.76319885,1942.949951,3.980259895,69.8423996,42.36899948,1.788669944,49.79169846,1958.97998,4.790400028,58.73080063,38.2262001,1.616719961,229.8699951,101.1110001,43.05350113,233.0370026,111.8820038,41.59669876,0,0,0,1
51.81880188,1871.410034,4.217179775,64.3588028,39.10400009,1.656100035,59.14080048,1924.410034,4.767419815,50.44490051,34.63090134,1.482730031,222.3099976,86.74320221,133.0570068,211.2879944,103.5739975,48.55709839,1,0,0,0
41.81610107,1957.060059,4.083360195,69.55940247,42.33779907,1.988839984,48.81539917,1968.939941,4.794479847,56.94290161,38.40409851,1.621199965,229.2359924,99.10919952,42.88040161,228.2189941,112.1969986,41.45370102,0,0,0,1
41.07649994,2108.22998,4.625889778,67.78160095,39.72399902,2.357209921,45.98799896,2113.709961,5.095990181,50.45439911,37.15219879,1.502889991,210.0570068,100.3089981,136.6340027,196.0010071,108.677002,40.08879852,0,0,0,1
47.53079987,1959.140015,4.31592989,67.57740021,41.17340088,2.490590096,52.15850067,1986.329956,4.635489941,52.32509995,36.27949905,1.667919993,249.1759949,95.72029877,42.57519913,221.4309998,109.4199982,40.46350098,1,0,0,0
36.39839935,1988.209961,4.42113018,69.58499908,43.26089859,2.378770113,41.93399811,1990.839966,4.877769947,55.1678009,39.83670044,1.622640014,238.8370056,97.50309753,42.71350098,228.352005,115.0350037,41.2840004,1,0,0,0
44.68610001,2166.850098,4.495220184,65.16049957,41.50510025,4.681029797,52.27209854,2184.0,4.97232008,47.53469849,37.20059967,1.874660015,237.048996,97.67759705,36.61909866,206.1909943,108.9189987,31.07460022,1,0,0,0
45.99039841,1982.939941,4.592959881,63.85070038,41.94889832,2.471849918,51.38090134,2014.430054,4.766990185,49.03079987,36.73429871,1.698779941,244.5500031,86.1964035,42.10419846,211.5090027,103.1159973,35.10900116,1,0,0,0
41.63700104,2180.370117,4.572820187,69.58769989,39.87379837,2.59691,45.98759842,2196.25,4.950870037,50.08089828,36.87260056,1.598369956,215.3119965,104.7139969,140.4559937,192.8399963,109.7710037,40.61560059,1,0,0,0
43.46480179,2198.719971,4.54090023,70.63999939,39.86149979,2.418979883,47.26710129,2211.5,4.951509953,49.70800018,36.40140152,1.562680006,215.4980011,105.4639969,142.7050018,190.871994,109.3860016,40.75490189,0,0,0,1
41.0223999,2161.699951,4.589389801,68.7983017,39.86320114,2.646670103,45.59140015,2179.370117,4.95028019,50.14979935,37.00299835,1.615630031,215.3070068,103.6460037,138.4720001,194.8600006,109.8919983,40.51649857,1,0,0,0
40.74240112,2165.179932,4.649839878,64.77089691,41.55699921,5.49574995,48.59420013,2185.340088,4.83671999,48.93159866,38.19329834,1.971099973,238.9290009,102.1210022,36.82429886,209.0299988,113.0199966,31.31999969,1,0,0,0
50.05279922,1907.849976,4.211939812,67.37789917,39.37559891,1.85453999,56.5564003,1945.300049,4.757460117,51.8166008,35.29199982,1.49537003,224.2819977,89.7071991,133.7180023,213.2109985,105.6689987,48.85160065,1,0,0,0
50.16379929,1905.050049,4.607590199,64.34649658,41.18880081,2.086760044,54.37519836,1934.290039,4.643410206,50.49909973,34.91400146,1.586030006,248.6329956,91.15519714,42.4822998,217.673996,106.0410004,40.05189896,1,0,0,0
64.36689758,1898.349976,4.113790035,66.92430115,39.87390137,1.756710052,69.51139832,1912.969971,4.798319817,51.05080032,34.42969894,1.499930024,219.9400024,79.12120056,130.7059937,205.7980042,97.5719986,46.1711998,1,0,0,0
41.67050171,1934.0,4.55960989,67.0510025,40.27769852,2.149389982,47.41220093,1965.869995,4.876920223,50.58029938,36.28319931,1.492079973,219.4570007,87.5963974,138.0090027,211.2839966,104.2259979,43.98970032,1,0,0,0
58.77870178,1899.119995,4.116159916,66.17369843,39.73609924,1.737849951,64.64689636,1924.569946,4.798630238,52.03910065,34.97159958,1.490139961,221.3049927,86.47599792,132.2169952,212.0850067,101.9260025,46.32600021,1,0,0,0
34.56990051,1958.449951,4.275020123,69.53829956,41.72729874,2.243240118,40.76839828,1974.709961,4.973559856,55.5788002,40.13830185,1.619429946,228.970993,94.50869751,41.27840042,231.2299957,116.1149979,41.78379822,1,0,0,0
42.61769867,1944.650024,4.012360096,69.61710358,42.34189987,1.812430024,50.38019943,1959.420044,4.791240215,58.13909912,38.16360092,1.616289973,229.5610046,99.92479706,43.00230026,230.6629944,111.5599976,41.53850174,0,0,0,1
